Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
40	42124.824	24798.963	57891.8	-6955.773	168.4	7273.174	8104.1084	16229.937	-21096.77	41000	-1.6212464e-08	249535790.0	-0.017473837	-139447330.0	0.004542482	0.0	4489.052282333374
41	45337.61	23152.906	59843.508	-6175.503	149.16667	17396.053	2880.5586	26425.371	10131.029	42000	-4.529953e-09	115562900.0	-0.01397582	-16787224.0	0.0038404607	0.0	4619.753435611725
42	26015.162	27238.121	55200.594	-7525.7915	140.33333	21372.475	3899.9326	32406.775	11967.62	43000	2.7894973e-08	231005500.0	-0.017688598	-70393100.0	0.0047194827	0.0	4735.891674280167
43	33961.12	23068.51	54255.434	2772.7014	175.0	13502.413	2770.122	21705.74	7212.6597	44000	-1.1444092e-08	146958320.0	-0.0172968	-2777712.0	0.004060484	0.0	4841.410294294357
44	28026.117	28006.584	58879.645	-1879.5922	207.5	13058.684	2919.5476	21672.232	6587.2866	45000	2.3841858e-08	202199600.0	-0.014483967	-60716350.0	0.0050008507	0.0	4946.909213542938
45	18792.318	28300.842	56301.74	-7245.089	185.6	6444.696	6785.8203	13745.364	-16018.993	46000	5.3644182e-09	167719000.0	-0.010239062	-10393888.0	0.003031141	0.0	5052.685479402542
46	42592.004	22821.725	55933.215	-2846.0833	190.6	7330.287	3926.97	12816.046	-7532.5503	47000	2.1457671e-09	215824430.0	-0.021112502	-58298064.0	0.004844617	0.0	5154.380341529846
47	11449.871	25858.879	55360.96	-11505.911	219.75	12883.709	4677.4136	19238.393	1031.345	48000	2.014637e-08	212746860.0	-0.019411582	-117366584.0	0.0055832756	0.0	5261.3574006557465
48	31231.385	24649.46	55941.676	882.01276	195.8	4702.953	7768.5483	10249.206	-20232.896	49000	-2.2649764e-09	241833340.0	-0.02318211	-84809900.0	0.009131703	0.0	5368.37061047554
49	52286.43	1829.0013	54495.98	49418.246	207.25	11807.463	1951.2136	15452.361	5395.3784	50000	1.2159347e-08	107666060.0	-0.015053319	-38059064.0	0.0053161536	0.0	5469.373136281967
50	39199.555	22294.463	54249.04	655.4284	209.75	16415.086	2689.4426	22382.043	8781.791	51000	1.8954276e-08	136690500.0	-0.014447613	-21025040.0	0.005842126	0.0	5580.823369503021
51	50839.74	6218.922	55093.793	40091.895	195.5	12912.556	2446.459	17680.95	6694.058	52000	-2.3841857e-09	130596710.0	-0.017398234	-35076570.0	0.0053256988	0.0	5681.715023517609
52	55119.48	2186.234	59388.1	53413.895	179.8	17348.955	4524.872	25082.436	-2170.1484	53000	1.9073487e-09	86619096.0	-0.015276202	-27371364.0	0.003583839	0.0	5803.7973573207855
53	48048.88	8541.498	57216.55	38221.266	243.0	20340.867	4727.374	30682.598	9369.432	54000	-1.3589859e-08	108022630.0	-0.010691278	-37171200.0	0.0046285014	0.0	5925.545734643936
54	38696.176	6064.8164	43419.332	30134.45	284.66666	13433.302	8070.962	27795.873	-1092.9619	55000	-1.7166137e-08	104990450.0	-0.00910824	-8353456.0	0.0032078323	0.0	6037.645067691803
55	51867.805	4281.451	57060.082	43992.094	197.0	15867.377	5050.5957	23233.197	-872.82275	56000	1.7166137e-08	73534104.0	-0.020806005	-16780788.0	0.0041470774	0.0	6164.392022848129
