Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
52	-4023.3103	17645.904	38886.535	-13470.895	121.0	-6865.722	3598.9458	-1238.1807	-20731.803	53000	0.02517084	108507870.0	-0.0016628336	-12343496.0	0.79847926	-0.0005155532	5853.75453543663
53	-4582.211	17213.822	40518.13	-14786.611	124.625	-3311.5535	2848.1072	779.34265	-11238.659	54000	0.003914692	100253704.0	-0.0010141926	-1421192.0	0.7874562	0.00018671644	5961.322682619095
54	-7543.311	17451.332	38551.668	-15367.601	117.375	-3618.483	3642.4834	755.9026	-14200.515	55000	0.026689159	96892980.0	-0.000628341	-1239848.0	0.8446787	0.0014452356	6067.997514486313
55	3262.6008	23049.031	44976.016	-15139.841	120.71429	-3469.0017	2972.6511	949.79004	-14538.347	56000	0.044330195	181882180.0	-0.00067834556	-17672944.0	0.8214977	0.0006482775	6175.215337753296
56	7383.904	23357.484	45138.344	-13415.839	108.44444	830.06946	2503.4102	3549.8865	-10895.5	57000	0.04424199	222201550.0	-0.0011290833	-14838128.0	0.7959627	0.00074033294	6282.954551696777
57	-13378.047	6195.817	-2042.2462	-20756.982	139.5	2365.934	4211.081	8636.905	-12142.172	58000	0.04437432	114182160.0	-0.00089857355	-98329380.0	0.7872726	-0.00022570044	6390.224322319031
58	17826.213	24524.445	40797.29	-15115.697	131.85715	-5744.4146	3933.6528	106.62114	-17602.0	59000	0.026963824	407260640.0	-0.000199778	-173966430.0	0.7662032	9.370981e-05	6497.341074228287
59	4206.8438	24532.068	39752.332	-14343.36	110.77778	4740.98	2666.896	9532.757	-7814.431	60000	0.017553287	213217390.0	-0.00056222826	-6323472.0	0.791687	0.0008670406	6604.796245336533
60	-71.461716	19126.863	38425.11	-12932.164	95.7	3046.6133	3294.0547	7610.2227	-10763.087	61000	0.06103266	178159330.0	-0.00028066337	-7975744.0	0.7632964	-0.000121977246	6713.863991975784
61	-4504.7485	15227.878	32047.064	-12675.874	120.0	1366.836	2667.48	5657.829	-11572.934	62000	0.06903555	113083550.0	-0.00063475966	-23442440.0	0.7913065	-0.0002357395	6821.218966722488
62	8340.96	26668.408	43932.062	-18742.871	139.85715	-2717.6963	3763.011	1179.9407	-18383.305	63000	0.052854277	258435460.0	-0.00041960925	-44446256.0	0.79632515	7.4790405e-05	6928.689343214035
63	21822.824	21265.34	38850.934	-12733.452	195.0	2612.2275	2603.5955	6486.6445	-10984.751	64000	0.06485401	229781070.0	-0.00037050247	-13587808.0	0.7797317	0.00018038481	7036.235976457596
64	-1371.2334	20012.283	36106.89	-15800.747	103.55556	4768.233	3102.3706	10825.466	-9070.277	65000	0.026504144	185335380.0	-0.00070991926	-18948512.0	0.78991884	-0.00012449086	7144.2662489414215
65	24034.873	21880.996	44734.613	-9881.082	141.5	1803.5269	2157.7673	5115.956	-9237.263	66000	0.04677511	253827650.0	-0.0005295947	-47977490.0	0.7533464	0.00020177377	7252.503852367401
66	449.69406	27598.932	40883.5	-38337.94	135.71428	6826.249	3582.8372	14912.849	-8541.766	67000	0.05390995	251211400.0	-0.00044435635	-66930690.0	0.7662817	0.00033482607	7360.047629117966
67	4076.369	23625.121	40424.367	-15500.232	109.55556	314.0733	3294.1953	5012.159	-12790.491	68000	0.07847288	217461620.0	-0.0007308796	-10808144.0	0.7694122	-0.00017066191	7468.2940418720245
68	23182.66	22384.31	39226.598	-12863.593	132.0	3594.362	2625.0066	8699.319	-7550.811	69000	0.06387958	254538180.0	-0.0005572885	-63887216.0	0.7745487	0.00017477582	7575.454386472702
69	25066.732	23648.576	41398.668	-13576.394	139.0	10075.638	4135.5493	19336.242	-7425.4507	70000	0.08276182	218610660.0	-0.00012972951	-5415488.0	0.7504205	-0.0003459745	7682.246537923813
70	9507.172	27182.943	45903.62	-15199.547	127.0	10808.92	3506.8987	18950.816	1271.6713	71000	0.03387014	255490980.0	-0.0012578629	-41838990.0	0.77504706	0.00024005314	7790.203677892685
71	13854.5	26663.754	42893.004	-13792.476	114.25	5585.566	2985.2312	12031.998	-4895.666	72000	0.024647107	220280060.0	-0.0015355591	-13049536.0	0.75829786	0.0011425116	7897.906841516495
