Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
43	-7617.305	196.67879	-7278.2437	-8212.1455	25.589743	-7804.751	1301.5066	-5565.861	-10693.638	88000	-0.043975618	94735.92	-0.001341071	-4887.914	0.19335201	-0.000431279	11690.716218709946
44	-7594.396	196.69582	-7056.3613	-8145.803	25.551283	-7735.859	1269.3976	-5548.4243	-10190.335	90000	-0.0919978	106812.46	-0.0021386892	-5876.922	0.19600148	0.00016601065	11924.690662384033
45	-7645.682	201.1531	-7214.444	-8316.724	25.589743	-7777.85	1294.4503	-5519.0044	-10289.312	92000	-0.027050568	81437.57	-0.0006179139	-3024.8047	0.20749994	0.0009177186	12159.19057559967
46	-7551.5625	186.82225	-7108.01	-8066.786	26.026316	-7797.3887	1292.4519	-5569.802	-10332.977	94000	-0.04367877	80296.09	-0.0011269599	-7218.289	0.17304109	0.00034474884	12394.127459287643
47	-7503.9624	194.13696	-7106.9395	-7996.893	26.197369	-7707.347	1302.2775	-5483.8936	-10178.681	96000	-0.03694902	76322.98	-0.00070980564	-3835.8438	0.15528695	0.00016161572	12626.70521402359
48	-7617.331	171.31496	-7214.0107	-8018.0527	24.8625	-7679.608	1328.9478	-5402.8765	-10299.081	98000	-0.042302575	88593.59	-0.0011205524	-15914.477	0.15669413	0.00038700597	12860.936520338058
49	-7505.1216	189.77219	-7107.199	-7928.4917	25.961039	-7814.9365	1277.7051	-5555.156	-10188.226	100000	-0.09048761	87622.29	-0.002052553	-16939.477	0.15286197	0.0005954291	13094.927535533905
50	-7520.0977	166.87645	-7213.324	-7960.477	25.410257	-7676.4663	1322.8794	-5426.9287	-10285.994	102000	-0.05005482	78010.625	-0.0014400147	-5532.4062	0.12738924	0.00023814375	13331.604978084564
51	-7568.457	159.43468	-7320.686	-8283.17	24.679012	-7724.838	1311.0894	-5465.1553	-10151.414	104000	-0.024446808	60865.312	-0.00051113963	-6745.883	0.09756241	-0.0002827902	13566.401506900787
52	-7583.5625	173.94366	-7214.7393	-8023.3125	24.604939	-7798.557	1286.68	-5578.7583	-10226.352	106000	-0.03018528	66411.695	-0.0007005539	-2537.8906	0.10451299	9.7530654e-05	13801.114569187164
53	-7541.3823	165.1913	-7213.352	-8028.863	25.063292	-7761.1113	1257.1196	-5612.556	-10143.23	108000	-0.053231623	59990.945	-0.00096556917	-3147.461	0.10215263	0.00029749633	14033.913549900055
54	-7522.6123	170.99515	-7000.9473	-7920.6553	25.1519	-7765.471	1297.5363	-5540.4395	-10155.468	110000	-0.054318856	57920.766	-0.0011940263	-2696.5977	0.09896352	0.00035968286	14268.049053907394
55	-7505.6455	160.89548	-7175.3945	-7856.442	25.063292	-7707.988	1292.8235	-5510.13	-9778.677	112000	-0.03890897	53428.574	-0.0008753501	-1902.2617	0.08418791	0.00016270473	14501.70830154419
56	-7450.8164	145.11578	-7107.835	-7924.488	25.564102	-7722.7373	1301.0731	-5508.915	-10180.0625	114000	-0.043753468	57088.45	-0.00089042634	-5203.754	0.08129948	0.0002175796	14734.119836807251
57	-7535.004	143.5889	-7213.0654	-7785.663	24.666666	-7689.781	1328.6421	-5418.7725	-10134.316	116000	-0.01173259	61991.8	-0.0003237035	-8118.699	0.07377473	0.0001767714	14967.840423583984
58	-7489.3687	137.97447	-7056.7954	-7891.5054	25.088608	-7742.733	1286.684	-5546.974	-9833.108	118000	-0.05945957	41727.496	-0.0012032762	-2147.7422	0.07458681	0.00033617197	15201.375846862793
59	-7410.115	135.75502	-6998.475	-7678.441	25.487179	-7735.4834	1303.9779	-5510.864	-10124.856	120000	-0.02695753	56543.62	-0.00048590638	-7832.664	0.04090631	-0.00027105096	15434.631143331528
60	-7459.835	153.18901	-7000.466	-7821.415	25.320513	-7691.723	1337.5314	-5410.5234	-10124.48	122000	-0.039851204	51065.008	-0.00087516755	-2187.3945	0.07095648	0.00040980038	15667.291050672531
61	-7416.7163	154.00282	-7000.3716	-7890.599	25.615385	-7673.698	1310.9117	-5461.837	-10032.135	124000	-0.030298367	43598.008	-0.0005221404	-2469.914	0.051818803	0.00011352574	15900.378210306168
62	-7479.4634	150.88414	-7065.917	-7887.751	25.075949	-7661.556	1338.7811	-5406.103	-10092.894	126000	-0.02507636	47353.55	-0.00053425133	-5041.5195	0.05930484	0.0002975442	16135.316261053085
63	-7422.9224	122.80654	-7107.9526	-7678.8296	25.346153	-7723.885	1308.1791	-5499.068	-9829.219	128000	-0.010425761	35960.23	-0.00015550107	-3649.1172	0.03202243	-0.00012240534	16368.450980186462
64	-7483.6343	137.63757	-7213.0166	-7783.9473	24.775	-7653.3633	1319.988	-5436.305	-9800.418	130000	-0.028105946	44392.863	-0.0005324129	-6885.3867	0.03565623	-2.518551e-05	16602.17905688286
65	-7432.444	142.22919	-7000.824	-7785.109	25.316456	-7763.127	1308.4062	-5540.686	-10088.665	132000	-0.045758527	48932.504	-0.00073735416	-8265.258	0.043200728	0.00013965301	16836.533975362778
66	-7517.3667	137.44565	-7107.5415	-7891.5024	24.45679	-7660.4087	1328.3916	-5453.846	-10193.885	134000	0.00016612196	44100.96	-8.870792e-05	-9910.961	0.035182886	3.567879e-05	17072.26051592827
67	-7442.553	156.43262	-7106.812	-7815.3867	25.126583	-7729.677	1282.9666	-5613.189	-9835.675	136000	-0.01856731	46076.57	-0.00021551363	-5115.16	0.03567079	4.9275834e-05	17305.473610162735
68	-7532.2617	138.22438	-7206.218	-8140.4146	24.469135	-7684.308	1318.335	-5499.235	-9796.239	138000	-0.035519697	40235.23	-0.0005877726	-8098.3066	0.058487967	0.00041249383	17539.959591388702
69	-7402.251	146.9215	-7105.839	-7784.102	25.602564	-7782.4546	1291.6152	-5622.837	-10094.202	140000	-0.041714944	57808.64	-0.00058953837	-19753.992	0.043739915	0.0002722018	17772.38200378418
70	-7515.5215	118.24922	-7274.6963	-7927.723	24.390244	-7659.398	1343.3145	-5260.49	-10051.985	142000	-0.00409511	42590.594	-0.00015803007	-13623.223	0.030666053	0.000103243256	18008.36260652542
71	-7478.4136	126.839966	-7001.5776	-7748.47	24.580246	-7754.373	1288.4187	-5632.6567	-9846.969	144000	-0.0064538834	34491.68	-8.9521986e-05	-1679.6484	0.011142059	-0.00013400284	18242.268248796463
72	-7520.3887	115.75422	-7320.15	-7785.035	24.304878	-7711.871	1305.812	-5585.884	-9835.713	146000	-0.005771543	26544.389	-9.8647084e-05	-2745.1152	0.021930639	-3.0487774e-07	18478.105692863464
73	-7511.0513	154.83606	-7107.09	-7891.333	24.353659	-7742.9785	1281.5193	-5654.362	-9839.977	148000	-0.0055188444	35361.17	-7.746043e-05	-682.2344	0.017848426	-2.5275149e-05	18713.36252951622
74	-7438.778	150.85063	-7106.7026	-7893.0405	25.075949	-7765.551	1293.779	-5637.1616	-9888.752	150000	-0.022847714	39848.734	-0.00022060797	-7548.5977	0.02137268	2.0681078e-05	18945.840409755707
75	-7448.379	132.26707	-7107.5317	-7786.2783	24.875	-7689.56	1327.717	-5522.8804	-10072.029	152000	-0.00041279054	33441.77	-3.3843273e-05	-546.65625	0.012447538	-6.138608e-05	19179.291012763977
76	-7447.669	123.343895	-7106.5474	-7748.618	24.9875	-7702.384	1317.2438	-5548.9194	-9797.2705	154000	-0.011390598	28142.123	-0.00010933634	-518.52344	0.023659576	5.3296706e-05	19414.07317495346
77	-7503.787	124.53586	-7107.6694	-7855.126	24.378048	-7707.16	1323.0795	-5538.5684	-9875.747	156000	0.00076190254	29826.244	-2.5020563e-05	-3155.6875	0.010517131	-4.7446065e-05	19649.019377946854
78	-7496.254	141.87263	-7107.3325	-7855.4053	24.390244	-7739.502	1287.433	-5638.295	-9874.592	158000	-0.00018502295	33679.496	-9.207011e-06	-527.0664	0.005147236	-8.118254e-05	19884.320058584213
79	-7385.976	122.79795	-7106.664	-7640.8403	25.423077	-7747.3857	1297.5839	-5627.852	-9824.507	160000	0.0033093006	40738.6	3.2233074e-05	-12416.721	0.0048752977	-7.002656e-05	20117.24611711502
80	-7358.153	141.2737	-6788.3403	-7641.223	25.714285	-7659.246	1343.4954	-5458.7236	-9814.769	162000	-0.010180995	36889.38	-6.8089925e-05	-1587.6523	0.009264206	-3.551434e-05	20349.198396205902
81	-7380.189	129.06738	-7106.8906	-7748.6836	25.564102	-7610.451	1352.7078	-5419.8994	-9811.267	164000	-0.00945152	27979.096	-7.8715384e-05	-1704.2246	0.013482454	8.289311e-07	20581.353074789047
82	-7449.6396	116.517235	-7214.554	-7677.9653	24.8875	-7645.548	1350.1315	-5443.857	-9823.843	166000	-0.0055838153	28975.844	-5.651405e-05	-4328.58	0.010535367	-1.5042948e-05	20815.824323654175
83	-7485.468	117.92537	-7214.032	-7783.8936	24.580246	-7694.6333	1319.8433	-5553.621	-9969.642	168000	-0.011711638	24713.562	-9.2883594e-05	-1782.9863	0.013305535	9.313197e-06	21051.746461629868
84	-7440.1577	127.9521	-6892.8604	-7641.767	24.9125	-7732.657	1309.1044	-5617.5127	-9849.081	170000	-0.0031843567	28253.264	-2.1544518e-05	-2059.9434	0.0046878583	-4.4396515e-05	21286.022233247757
85	-7407.3726	122.393166	-7106.991	-7657.355	25.346153	-7707.73	1323.787	-5553.561	-10132.962	172000	-0.015468707	28959.143	-8.898787e-05	-2287.0684	0.021339433	5.0372168e-05	21519.666528701782
86	-7475.7793	122.49899	-7107.0444	-7771.8926	24.617285	-7661.25	1336.6737	-5498.279	-10100.242	174000	-0.011254279	34187.35	-8.3505176e-05	-4535.5195	0.011426783	8.6220166e-07	21753.848304748535
87	-7403.479	114.005356	-7106.5913	-7641.6006	25.320513	-7716.593	1309.6974	-5616.484	-9823.484	176000	-0.0051886872	26073.793	-2.0731706e-05	-3872.254	0.011963429	3.2595956e-06	21987.13988494873
88	-7466.4795	114.02345	-7213.4473	-7784.8027	24.7625	-7664.686	1335.7786	-5493.699	-9819.972	178000	-0.005207122	28543.996	-4.4094864e-05	-3396.791	0.013830624	1.6455591e-05	22221.209377765656
89	-7480.972	99.68092	-7213.255	-7748.151	24.506172	-7709.421	1312.5719	-5597.066	-9834.401	180000	0.00020380279	20043.922	-5.6265562e-06	-507.99414	0.0013945167	-4.48144e-05	22455.740066051483
90	-7415.0283	132.92755	-6999.0464	-7784.49	25.316456	-7737.836	1311.6924	-5622.1855	-10069.247	182000	-0.015169378	30921.486	-8.263439e-05	-4883.795	0.02420623	7.316969e-05	22689.985132932663
91	-7444.2686	125.88643	-7107.0005	-7729.0913	24.95	-7685.5933	1337.4823	-5514.083	-10150.135	184000	-0.015836326	32375.758	-8.4096566e-05	-459.41016	0.012278806	9.23937e-06	22923.610167503357
92	-7398.11	138.88176	-7106.662	-7747.713	25.371796	-7668.0386	1318.6515	-5576.3896	-9799.18	186000	-0.010199701	29117.812	-4.8352405e-05	-1127.2441	0.011897665	1.1323747e-05	23156.911738157272
93	-7456.986	127.78233	-7105.791	-7785.8154	24.8	-7666.485	1349.407	-5493.1606	-10127.097	188000	-0.0011838495	32909.363	-1.6887556e-05	-2721.9453	0.010579377	7.5921444e-06	23390.90307855606
94	-7475.1675	113.88559	-7214.4434	-7748.353	24.555555	-7685.8594	1313.0253	-5594.4297	-9822.15	190000	0.00014514157	25046.996	-3.482739e-06	-1676.2246	0.0011823681	-3.4473458e-05	23625.784782886505
95	-7464.709	132.62953	-7107.249	-7890.1465	24.679012	-7737.029	1312.1174	-5623.67	-9870.587	192000	-0.0075896108	27798.145	-3.797235e-05	-476.83203	0.0074568484	-5.334366e-06	23859.848481178284
96	-7464.87	147.46968	-7001.072	-7999.0625	24.7125	-7719.587	1303.7795	-5604.903	-9854.409	194000	-0.005598904	31580.717	-2.7558766e-05	-288.22852	0.007313388	-3.2602431e-06	24094.460798740387
97	-7435.5664	119.87424	-7213.3286	-7642.4624	24.9875	-7716.08	1317.3043	-5597.691	-9845.423	196000	0.0019387751	25469.729	3.010733e-06	-700.5781	0.008877995	-9.739059e-07	24329.594361782074
98	-7467.2	103.72808	-7213.7666	-7748.9175	24.725	-7689.365	1326.4672	-5552.6343	-9846.895	198000	-0.007551403	20000.396	-4.014047e-05	-1235.1035	0.010435694	1.3308056e-05	24563.86460161209
99	-7509.3223	124.17463	-7214.497	-7854.9155	24.317074	-7710.876	1318.873	-5601.277	-10017.51	200000	0.004523088	27373.475	8.124858e-06	-2044.375	0.010622867	6.818433e-06	24799.885402917862
