Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
42	-5110.931	316.18134	-4623.812	-5635.7896	53.22222	-5996.774	2184.155	-2366.8267	-10480.238	43000	-0.030147247	174284.28	0.00011108816	-63420.617	0.25031585	-0.0003445951	4759.6383266448975
43	-5108.9004	425.20737	-4226.121	-5856.5527	52.944443	-5808.794	2274.3696	-1924.2029	-10485.945	44000	-0.040484402	154633.86	-0.0013250448	-15667.875	0.23732583	0.00028307206	4866.224191427231
44	-5287.653	349.50513	-4653.8457	-6097.577	51.210526	-5764.246	2345.05	-2281.8098	-10330.923	45000	-0.015741918	143379.7	-0.0011522714	-28855.367	0.22392908	0.00032416685	4977.749400615692
45	-5237.831	203.34094	-4905.9365	-5689.6826	52.42105	-5980.9834	2247.296	-2031.5708	-10325.896	46000	-0.07829829	104511.44	-0.0020511448	-10884.18	0.24577609	0.0011321579	5084.390989303589
46	-4479.3823	2739.4104	6631.9224	-6574.305	52.77778	-5753.662	2268.076	-1912.0668	-9804.102	47000	0.060645744	6267182.0	2.8640032e-05	-985546.5	0.2099082	0.00041366034	5190.169802904129
47	-5113.924	350.47723	-4211.68	-5764.8022	50.789474	-5399.038	2310.3215	-1346.8682	-9892.745	48000	-0.060126457	355300.8	-0.00056741387	-173672.52	0.1841131	-0.00014003807	5302.48148393631
48	-5026.15	358.68585	-4349.4507	-5871.9326	53.11111	-5892.4043	2317.0864	-1711.771	-10120.82	49000	-0.05000666	178115.28	-0.00089271367	-16414.234	0.22424082	0.0011782756	5413.127657175064
49	-5028.2114	336.81	-4403.7075	-5850.9653	52.0	-5729.25	2349.2297	-1584.2864	-10115.938	50000	-0.069738045	178491.22	-0.0014049709	-14141.594	0.19093634	0.00070960994	5514.11577963829
50	-4880.052	339.92166	-4294.5205	-5477.558	51.0	-5743.154	2279.7532	-1740.2078	-10028.752	51000	-0.07145163	132384.02	-0.0015524626	-9519.969	0.11050383	-0.0008249167	5637.426460504532
51	-4992.6704	288.02505	-4402.58	-5445.1494	51.105263	-5681.029	2314.6687	-2290.7512	-10786.306	52000	-0.040593527	145485.98	-0.000736475	-9952.891	0.13598047	0.000113118884	5746.582768440247
52	-5072.2856	491.4706	-4402.1313	-6787.2217	49.0	-5678.6973	2352.0642	-1591.8273	-10935.769	53000	-0.0022326382	577240.7	-0.00036899117	-119153.19	0.13216937	-0.00016373453	5853.787581682205
53	-4844.194	264.82108	-4508.893	-5302.8975	51.210526	-5865.569	2167.7334	-2457.044	-10043.548	54000	-0.06083841	197238.66	-0.0006745383	-78636.414	0.10081384	-0.00044642013	5970.240838766098
