Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
56	-16569.889	4644.724	-9504.869	-23168.004	214.55556	-5676.6187	1155.7474	-2365.9885	-8827.895	114000	5.5074693e-08	5805110.5	-0.033765335	-706234.5	0.5127844	0.045833204	0.1125	79.0	12032.739416122437
57	-19737.754	9522.6875	-10943.094	-36743.58	344.6	-5578.3193	734.38794	-3442.572	-8846.587	116000	-3.8146972e-08	4556002.5	-0.029266218	-1292181.5	0.53333205	0.033718515	0.1265	79.0	12247.984703063965
58	-16985.707	9717.562	-10680.076	-40420.816	227.0	-4486.634	555.9445	-2973.5696	-6209.259	118000	-1.9669534e-08	5926153.0	-0.036922887	-2223797.5	0.5517895	0.04197425	0.127	79.0	12445.009186506271
59	-22976.238	11647.366	-8789.963	-34768.75	489.75	-4887.5576	653.218	-3237.9817	-7162.4385	120000	9.059906e-09	2821377.5	-0.02616196	-804424.4	0.5459758	0.02227258	0.067	79.0	12651.97145485878
60	-18953.205	7785.0806	-10457.46	-33088.785	259.14285	-4277.229	816.6206	-2550.378	-7022.4688	122000	1.0490417e-08	5945367.5	-0.028400531	-1232074.5	0.5588491	0.023788149	0.1565	79.0	12855.219366073608
61	-14290.71	5915.949	-9092.158	-27382.816	231.875	-5208.799	492.15195	-4077.5056	-7386.7847	124000	-3.242493e-08	5636343.0	-0.019767398	-1129326.0	0.49436128	0.0058431574	0.049	79.0	13064.261600017548
62	-16967.125	8597.256	-9291.508	-27822.408	363.2	-4444.109	411.2675	-2815.584	-5453.109	126000	-1.0609627e-08	5258217.0	-0.024400335	-1501502.2	0.4909325	0.02304851	0.061	79.0	13272.99552488327
63	-29623.53	8109.873	-21513.656	-37733.402	683.5	-3283.711	314.57944	-2476.767	-4584.19	128000	-5.632639e-09	2747107.8	-0.012303906	-362719.25	0.47919866	0.014122338	0.028	79.0	13468.887832641602
64	-12565.771	2603.3508	-9900.933	-17148.83	281.4	-3560.1035	506.31525	-1849.6765	-5229.7764	130000	1.5497208e-09	6218938.0	-0.030203916	-2499481.2	0.43474457	0.069327906	0.217	79.0	13676.731830358505
65	-23523.29	6678.1104	-15439.555	-31794.3	572.6667	-3356.402	1356.0719	-2090.5388	-7511.4824	132000	2.3841857e-09	5427389.0	-0.043564618	-1053151.0	0.4332484	0.070856854	0.1365	74.0	13884.094712734222
